turbine_id,easting_m,northing_m,site,layout_name,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T03,448097,5936847,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.295709780833478,0.2820389669121308,2.4360432503516605,0.3070153778221754
T10,447335,5934626,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.263001574460263,0.31474717328534574,2.718552459057574,0.3061263746048125
T09,447112,5935079,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.190726641895838,0.3870221058497716,3.342809679862258,0.3041619548243052
T06,447630,5936095,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.11667365613502,0.46107509161058857,3.982424404402177,0.3021492078749462
T01,449133,5936508,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.960421958779193,0.617326788966416,5.332010587003111,0.2979023146004347
T05,449177,5935230,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.890710765705375,0.6870379820402341,5.934124129045489,0.29600757680216827
T08,447825,5935427,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.872587426790226,0.7051613209553835,6.09066007839124,0.29551498768183915
T07,448416,5935270,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.852496046450515,0.7252527012950942,6.2641945087667725,0.29496890754649147
T04,448712,5935877,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.684248683766173,0.8935000639794364,7.7173903445902345,0.2903959742271736
T02,449268,5935742,fid_48,layout_fid7_10t_candidate_v2,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.610048705916407,0.9677000418292021,8.358274677688359,0.28837923205904564
