rank_by_case_net_aep,case_id,case_layout_name,case_num_turbines,case_installed_capacity_mw,case_net_aep_gwh,case_wake_loss_pct,case_net_capacity_factor,delta_net_aep_gwh,delta_wake_loss_pct,pct_change_net_aep_gwh
1,fid_7,layout_multisite_12t_candidate_d,12,50.40000000000001,131.6105907857203,5.2704504899630695,0.2980960326196823,-0.6456408984594191,0.4647139040344781,-0.48817427370921357
2,fid_45,layout_fid7_10t_candidate_v2,10,42.00000000000001,109.73662524073248,5.217648411915883,0.2982621908043391,-22.51960644344723,0.4119118259872918,-17.027255469687624
3,fid_48,layout_fid7_10t_candidate_v2,10,42.00000000000001,109.73662524073248,5.217648411915883,0.2982621908043391,-22.51960644344723,0.4119118259872918,-17.027255469687624
4,fid_8,layout_fid7_10t_candidate_v2,10,42.00000000000001,109.73662524073248,5.217648411915883,0.2982621908043391,-22.51960644344723,0.4119118259872918,-17.027255469687624
5,fid_94,layout_fid7_10t_candidate_v2,10,42.00000000000001,109.73662524073248,5.217648411915883,0.2982621908043391,-22.51960644344723,0.4119118259872918,-17.027255469687624
