comparison_id,case_id,baseline_layout_name,refined_layout_name,baseline_n_turbines,refined_n_turbines,delta_n_turbines,baseline_installed_capacity_mw,refined_installed_capacity_mw,delta_installed_capacity_mw,n_retained,n_moved,n_removed,n_added,max_movement_distance_m,mean_movement_distance_m_for_moved,baseline_min_nearest_spacing_m,refined_min_nearest_spacing_m,baseline_mean_nearest_spacing_m,refined_mean_nearest_spacing_m
baseline_vs_fid_45,fid_45,baseline_aligned,layout_fid7_10t_candidate_v2,12,10,-2,50.40000000000001,42.00000000000001,-8.400000000000006,0,10,2,0,8537.25418386966,7932.030964218722,680.2367235014588,504.9138540384884,680.2367235014589,618.4667276391252
baseline_vs_fid_48,fid_48,baseline_aligned,layout_fid7_10t_candidate_v2,12,10,-2,50.40000000000001,42.00000000000001,-8.400000000000006,0,10,2,0,8537.25418386966,7932.030964218722,680.2367235014588,504.9138540384884,680.2367235014589,618.4667276391252
baseline_vs_fid_7,fid_7,baseline_aligned,layout_multisite_12t_candidate_d,12,12,0,50.40000000000001,50.40000000000001,0.0,0,12,0,0,8537.25418386966,7959.713397724762,680.2367235014588,504.9138540384884,680.2367235014589,610.6804515050044
baseline_vs_fid_8,fid_8,baseline_aligned,layout_fid7_10t_candidate_v2,12,10,-2,50.40000000000001,42.00000000000001,-8.400000000000006,0,10,2,0,8537.25418386966,7932.030964218722,680.2367235014588,504.9138540384884,680.2367235014589,618.4667276391252
baseline_vs_fid_94,fid_94,baseline_aligned,layout_fid7_10t_candidate_v2,12,10,-2,50.40000000000001,42.00000000000001,-8.400000000000006,0,10,2,0,8537.25418386966,7932.030964218722,680.2367235014588,504.9138540384884,680.2367235014589,618.4667276391252
