wd_deg,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct
0.0,6.346736332150749,6.158065190804237,0.18867114134651164,2.9727269492945165
22.5,5.150714103418484,4.797644533595851,0.35306956982263316,6.854769314187016
45.0,4.140645860778882,4.055002195665547,0.08564366511333521,2.0683648878203047
67.5,4.4206333966570215,4.172711596150169,0.24792180050685264,5.608286828180244
90.0,5.113734617547788,4.77145221607724,0.34228240147054834,6.69339391011817
112.5,5.799439941264432,5.416253312437577,0.38318662882685484,6.607304027762894
135.0,6.9531999004301825,6.640207556263882,0.3129923441663003,4.501414437213807
157.5,7.891422284806706,7.337408257697202,0.5540140271095035,7.020458506904927
180.0,9.166686268976168,8.882800241159437,0.283886027816731,3.09693186268977
202.5,12.457860511468203,11.591840245928106,0.8660202655400973,6.951597063900932
225.0,14.931259837848232,14.68110237168953,0.2501574661587025,1.6753942324719002
247.5,14.705156695667414,13.833881272007536,0.8712754236598776,5.924965246487865
270.0,13.482720548456077,12.65775481983843,0.8249657286176468,6.118688922259942
292.5,11.457301279481053,10.649708445825588,0.8075928336554643,7.048717791001856
315.0,9.368488606156264,8.937392925626032,0.4310956805302322,4.601549926067569
337.5,7.5469847878396505,7.027365604953923,0.5196191828857275,6.885122966233912
