turbine_id,easting_m,northing_m
T01,449133,5936508
T02,449226,5935776
T03,448112,5936804
T04,448712,5935877
T05,448400,5936456
T06,449104,5935241
T07,447614,5936185
T08,448416,5935270
T09,447999,5935873
T10,447825,5935427
T11,447112,5935079
T12,447335,5934626
