turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T12,449735,5934467,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,11.302863691187039,0.27488505655857054,2.3742530827687505,0.30720981983004564
T03,448097,5936847,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,11.248015308209787,0.329733439535822,2.847992703244894,0.30571905056017035
T10,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,11.18581734176775,0.3919314059778589,3.3852125703986697,0.3040285209221502
T09,447112,5935079,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,11.156866014234666,0.4208827335109433,3.635272648258985,0.30324162900181195
T06,447630,5936095,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,11.088569167285645,0.48917958045996457,4.225170118285875,0.3013853328790401
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,10.940786303023378,0.6369624447222311,5.501608806688423,0.2973686209780218
T05,449177,5935230,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,10.824535532472051,0.7532132152735578,6.505696674582108,0.29420894576190615
T11,447957,5934958,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,10.728655386001432,0.8490933617441776,7.333838211936591,0.29160294047622937
T08,447825,5935427,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,10.602674266999031,0.9750744807465779,8.421969607316292,0.2881787961241311
T04,448712,5935877,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,10.592441739344276,0.9853070084013336,8.510350586016907,0.28790067784693074
T02,449268,5935742,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,10.533352875517165,1.0443958722284439,9.020716332540953,0.28629465306363244
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_b,11.57774874774561,10.498033930451577,1.0797148172940325,9.32577516422847,0.2853346904341046
