turbine_id,easting_m,northing_m,site,layout_name,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T05,447453,5934923,fid_7,layout_fid7_6t_candidate,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.458497392397678,0.11925135534793085,1.0300046921570238,0.3114399160795194
T01,447756,5936154,fid_7,layout_fid7_6t_candidate,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.281202482379252,0.29654626536635753,2.56134652623292,0.3066210720368355
T02,448436,5935312,fid_7,layout_fid7_6t_candidate,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.036390656957478,0.5413580907881315,4.675849360555033,0.29996713027172967
T03,448930,5936676,fid_7,layout_fid7_6t_candidate,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,11.002612523794127,0.5751362239514819,4.967599802711827,0.29904904663497844
T04,448902,5935932,fid_7,layout_fid7_6t_candidate,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.973358134622924,0.6043906131226855,5.220277502052124,0.2982539175533519
T06,448250,5935850,fid_7,layout_fid7_6t_candidate,112.0,136.0,4.2,Vestas V136-4.2 MW,11.57774874774561,10.834178782733126,0.7435699650124832,6.422405436611926,0.2944710475846142
