turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T03,448097,5936847,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,11.307689805022505,0.2700589427231037,2.3325686936822576,0.3073409927435993
T10,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,11.238899673907486,0.3388490738381229,2.9267267861906467,0.305471289245148
T09,447112,5935079,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,11.180403253558087,0.3973454941875225,3.4319754457004663,0.30388136696994145
T06,447630,5936095,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,11.119162809393519,0.4585859383520905,3.960924946150565,0.30221686261669706
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,10.904711281010558,0.6730374667350514,5.813198069841546,0.2963881083118764
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,10.893812612879675,0.6839361348659345,5.907332675526482,0.29609188445530754
T05,449177,5935230,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,10.871999248731811,0.7057494990137982,6.095740323879632,0.2954990011070833
T08,447748,5935345,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,10.849712578563432,0.7280361691821771,6.288236038322549,0.29489325338561184
T04,448782,5935917,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,10.66480273981182,0.9129460079337886,7.885349974549717,0.28986743693769895
T02,449268,5935742,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_45,layout_fid7_10t_candidate_v3,11.57774874774561,10.62222780347909,0.9555209442665191,8.253080672981229,0.2887102577592707
