wd_deg,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct
0.0,5.288946943458957,5.028554358160123,0.2603925852988347,4.9233351758401005
22.5,4.292261752848737,3.8808065827246807,0.4114551701240563,9.585975735309644
45.0,3.450538217315735,3.382318006789883,0.06822021052585203,1.9770889707438841
67.5,3.683861163880851,3.4360955131743465,0.24776565070650447,6.725705440144489
90.0,4.261445514623157,4.000299094287045,0.2611464203361118,6.128118250954693
112.5,4.83286661772036,4.592820478804093,0.24004613891626736,4.966951457673292
135.0,5.794333250358485,5.643235094149907,0.1510981562085778,2.6076884031347287
157.5,6.576185237338922,6.216172870092203,0.3600123672467186,5.474486412009874
180.0,7.638905224146807,7.2522754437558365,0.3866297803909706,5.0613244836291775
202.5,10.381550426223503,9.39897396525664,0.9825764609668628,9.464640835196468
225.0,12.442716531540194,12.239762877205035,0.20295365433515933,1.6311040585125116
247.5,12.25429724638951,11.377535585496096,0.8767616608934148,7.154728200768392
270.0,11.235600457046731,10.616564916244121,0.61903554080261,5.509590192078822
292.5,9.54775106623421,9.073518905561835,0.4742321606723756,4.966951456762483
315.0,7.807073838463553,7.56963300539536,0.23744083306819252,3.0413550323858773
337.5,6.289153989866375,5.944855109260778,0.34429888060559755,5.474486412009651
