wd_deg,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct
0.0,6.346736332150749,6.098681203171076,0.2480551289796722,3.9083887528633565
22.5,5.150714103418484,4.797644533595851,0.35306956982263316,6.854769314187016
45.0,4.140645860778882,3.980814180589488,0.1598316801893942,3.8600664138741108
67.5,4.4206333966570215,4.055239252266994,0.36539414439002726,8.265651358159358
90.0,5.113734617547788,4.8607640146213456,0.25297060292644247,4.946885629503992
112.5,5.799439941264432,5.442047250951636,0.3573926903127962,6.162538002503654
135.0,6.9531999004301825,6.684984884277917,0.26821501615226584,3.857432836580347
157.5,7.891422284806706,7.127945040974107,0.7634772438325985,9.674773650150687
180.0,9.166686268976168,8.764486588992526,0.40219967998364226,4.387623489906611
202.5,12.457860511468203,11.591840245928106,0.8660202655400973,6.951597063900932
225.0,14.931259837848232,14.372967906866418,0.5582919309818148,3.7390812097894024
247.5,14.705156695667414,13.41400299714968,1.2911536985177339,8.780278410077377
270.0,13.482720548456077,12.817435851774786,0.665284696681292,4.934350558481867
292.5,11.457301279481053,10.726031314054518,0.7312699654265344,6.382567304363114
315.0,9.368488606156264,9.007027756481689,0.36146084967457526,3.858262147397505
337.5,7.5469847878396505,6.852860726044426,0.6941240617952245,9.197369297916921
