turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T03,448097,5936847,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,11.248011204120543,0.32973754362506646,2.848028151321492,0.3057189390117564
T12,449613,5934602,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,11.24763269617949,0.3301160515661188,2.8512974219655454,0.30570865123340646
T10,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,11.18422700836185,0.39352173938375934,3.3989486899202657,0.3039852959437337
T09,447112,5935079,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,11.15688083047947,0.4208679172661398,3.635144676533857,0.303242031704704
T06,447630,5936095,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,11.089024534445562,0.48872421330004734,4.221236994758679,0.3013977096772549
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,10.953020546357656,0.6247282013879527,5.395938493738675,0.29770114553048643
T05,449177,5935230,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,10.783116319866313,0.7946324278792964,6.863445089305685,0.2930831789483125
T11,447957,5934958,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,10.751128083226883,0.8266206645187264,7.139735733854857,0.2922137443799435
T08,447825,5935427,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,10.60005290031768,0.9776958474279294,8.444611026977968,0.28810754784512066
T04,448712,5935877,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,10.592265524771879,0.9854832229737305,8.511872596696499,0.28789588836627195
T02,449268,5935742,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,10.520536776266752,1.057211971478857,9.131412285006745,0.28594631377111196
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_a,11.57774874774561,10.468877323346485,1.1088714243991245,9.577608294661268,0.2845422190516005
