site,records,missing_values_total,duplicate_timestamps,missing_timestamps,mean_ws_100,median_ws_100,p90_ws_100,std_ws_100,min_ws_100,max_ws_100,extreme_ws_100_count,mean_ws_10,mean_rho,mean_power_density,latitude,longitude,start_timestep,end_timestep,winter_mean_ws_100,summer_mean_ws_100,weibull_k,weibull_c,shear_exponent,turbulence_proxy,dominant_dir_1,dominant_dir_1_pct,dominant_dir_2,dominant_dir_2_pct
galway,131496,0,0,0,7.912180374201092,7.507034708352736,13.004014988192647,3.784326828131298,0.03454747949913996,27.091731969019033,0,4.990887663020805,1.2343628915385885,532.4947911943531,53.5,-9.75,2010-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,8.845487190229603,7.283106065258465,2.2064009038179693,8.93547298172113,0.20605203976750933,0.47829127360021906,SW,10.747094968668248,WSW,10.584352375737666
mayo,131496,0,0,0,7.230474982159267,6.86767346457837,11.802738884675307,3.4181743715835338,0.019151433968985308,25.411061796872794,0,4.402487890284922,1.2343420371508493,402.47167212606183,53.75,-9.5,2010-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,8.030310805364403,6.678501842189363,2.2346914282608625,8.16558330159512,0.22257386654648045,0.47274548076269673,WSW,10.967633996471376,SW,10.560777514144917
kerry,131496,0,0,0,7.213861899678549,6.843140161450243,11.933324999285443,3.518871927276164,0.030652902352713243,27.82326059678729,0,4.489367044639606,1.2364149037611498,411.16175419669503,52.25,-10.0,2010-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,8.01355330991674,6.7147962456944335,2.156294019950077,8.143879659015392,0.21117653116043322,0.48779308173794755,SW,10.321226501186349,WSW,10.277118695625722
donegal,131496,0,0,0,7.195725290114183,6.897031395633189,11.63160942410607,3.3252207223703607,0.038763336975779064,25.235513169506856,0,4.314471580959403,1.227047733721321,384.90012107854227,54.75,-8.0,2010-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,8.021448657307719,6.543866949565406,2.288007894741576,8.120370288030259,0.22930147522752287,0.462110570971727,WSW,10.67789134270244,SW,10.383585812496197
midlands,131496,0,0,0,6.679224861338597,6.4111513113337235,10.529892520501619,2.9140755818109945,0.020672184967462058,23.946111007902473,0,3.952523319969389,1.2351504120354517,296.00584190897064,53.25,-7.25,2010-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,7.359121686026219,6.153267371501758,2.4274158090059803,7.528738648366469,0.23304671001644692,0.43628948602682294,WSW,11.90682606315021,W,10.623136825454766
