site,weibull_k,weibull_c,shear_exponent,turbulence_proxy
galway,2.2064009038179693,8.93547298172113,0.20605203976750933,0.47829127360021906
mayo,2.2346914282608625,8.16558330159512,0.22257386654648045,0.47274548076269673
kerry,2.156294019950077,8.143879659015392,0.21117653116043322,0.48779308173794755
donegal,2.288007894741576,8.120370288030259,0.22930147522752287,0.462110570971727
midlands,2.4274158090059803,7.528738648366469,0.23304671001644692,0.43628948602682294
