turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T09,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,11.469404291302823,0.10834445644278645,0.93579899515338,0.3117363636470652
T06,447614,5936185,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,11.265425286183344,0.312323461562265,2.6976182362143577,0.306192250657299
T03,448112,5936804,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,11.154038271736667,0.4237104760089423,3.659696589040647,0.3031647714649018
T08,447825,5935427,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,11.133171660585713,0.44457708715989597,3.8399268877419965,0.30259762069432794
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,11.012314570739454,0.5654341770061553,4.883800722625417,0.29931274654108103
T05,449104,5935241,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,10.932140536923649,0.6456082108219601,5.576284516864052,0.29713363059696807
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,10.899796145681233,0.6779526020643765,5.85565136051502,0.2962545158099922
T02,449226,5935776,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,10.605090385052076,0.972658362693533,8.40110097295838,0.2882444657820199
T04,448712,5935877,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_48,layout_fid7_9t_candidate,11.57774874774561,10.599641022244388,0.9781077255012214,8.448168524055042,0.2880963530725263
