rank_overall,case_id,layout_name,source_layout_csv,output_dir,num_turbines,installed_capacity_mw,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,gross_capacity_factor,net_capacity_factor,benchmark_wake_loss_pct,delta_vs_benchmark_wake_loss_pct,abs_delta_vs_benchmark_wake_loss_pct,wake_loss_band,selection_basis,selected_layout_flag
1,fid_7,layout_multisite_12t_candidate_d,data/optimisation/fid_7/candidate_layouts/layout_multisite_12t_candidate_d.csv,outputs/wake/optimisation/fid_7/layout_multisite_12t_candidate_d,12,50.40000000000001,138.9329849729473,131.6105907857203,7.322394187227019,5.2704504899630695,0.3146811466554035,0.29809603261968237,4.805736585928591,0.4647139040344781,0.4647139040344781,acceptable,highest net AEP within acceptable wake-loss band,True
2,fid_7,layout_multisite_12t_candidate_e,data/optimisation/fid_7/candidate_layouts/layout_multisite_12t_candidate_e.csv,outputs/wake/optimisation/fid_7/layout_multisite_12t_candidate_e,12,50.40000000000001,138.9329849729473,131.4984090786774,7.434575894269898,5.351195683096811,0.3146811466554035,0.29784194272006,4.805736585928591,0.5454590971682194,0.5454590971682194,acceptable,highest net AEP within acceptable wake-loss band,False
3,fid_7,layout_multisite_12t_candidate_c,data/optimisation/fid_7/candidate_layouts/layout_multisite_12t_candidate_c.csv,outputs/wake/optimisation/fid_7/layout_multisite_12t_candidate_c,12,50.40000000000001,138.9329849729473,130.84707452312435,8.085910449822961,5.8200077191153925,0.3146811466554035,0.2963666796294582,4.805736585928591,1.014271133186801,1.014271133186801,acceptable,highest net AEP within acceptable wake-loss band,False
4,fid_7,layout_multisite_12t_candidate_b,data/optimisation/fid_7/candidate_layouts/layout_multisite_12t_candidate_b.csv,outputs/wake/optimisation/fid_7/layout_multisite_12t_candidate_b,12,50.40000000000001,138.9329849729473,130.7026115564938,8.230373416453517,5.923988042188912,0.3146811466554035,0.29603947315651447,4.805736585928591,1.118251456260321,1.118251456260321,acceptable,highest net AEP within acceptable wake-loss band,False
5,fid_7,layout_fid7_10t_candidate_v2,data/optimisation/fid_7/candidate_layouts/layout_fid7_10t_candidate_v2.csv,outputs/wake/optimisation/fid_7/layout_fid7_10t_candidate_v2,10,42.00000000000001,115.77748747745608,109.73662524073248,6.040862236723598,5.217648411915883,0.3146811466554035,0.29826219080433913,4.805736585928591,0.4119118259872918,0.4119118259872918,acceptable,highest net AEP within acceptable wake-loss band,False
6,fid_7,layout_fid7_10t_candidate_v3,data/optimisation/fid_7/candidate_layouts/layout_fid7_10t_candidate_v3.csv,outputs/wake/optimisation/fid_7/layout_fid7_10t_candidate_v3,10,42.00000000000001,115.77748747745608,109.65342180635798,6.124065671098094,5.289513362682498,0.3146811466554035,0.2980360453532234,4.805736585928591,0.4837767767539063,0.4837767767539063,acceptable,highest net AEP within acceptable wake-loss band,False
7,fid_7,layout_fid7_10t_candidate,data/optimisation/fid_7/candidate_layouts/layout_fid7_10t_candidate.csv,outputs/wake/optimisation/fid_7/layout_fid7_10t_candidate,10,42.00000000000001,115.77748747745608,109.6108846924969,6.166602784959181,5.326253764282049,0.3146811466554035,0.29792043023618414,4.805736585928591,0.5205171783534572,0.5205171783534572,acceptable,highest net AEP within acceptable wake-loss band,False
8,fid_7,layout_fid7_9t_candidate,data/optimisation/fid_7/candidate_layouts/layout_fid7_9t_candidate.csv,outputs/wake/optimisation/fid_7/layout_fid7_9t_candidate,9,37.800000000000004,104.19973872971048,99.07102217044935,5.128716559261122,4.922005200574242,0.31468114665540353,0.29919252425179793,4.805736585928591,0.11626861464565064,0.11626861464565064,acceptable,highest net AEP within acceptable wake-loss band,False
9,fid_7,layout_fid7_6t_candidate,data/optimisation/fid_7/candidate_layouts/layout_fid7_6t_candidate.csv,outputs/wake/optimisation/fid_7/layout_fid7_6t_candidate,6,25.2,69.46649248647365,66.58623997288458,2.8802525135890704,4.146247220053476,0.3146811466554036,0.3016336883601715,4.805736585928591,-0.6594893658751158,0.6594893658751158,acceptable,highest net AEP within acceptable wake-loss band,False
10,fid_7,layout_fid7_8t_candidate,data/optimisation/fid_7/candidate_layouts/layout_fid7_8t_candidate.csv,outputs/wake/optimisation/fid_7/layout_fid7_8t_candidate,8,33.6,92.62198998196487,88.92376464092149,3.6982253410433827,3.9928156820680405,0.3146811466554036,0.3021165084832351,4.805736585928591,-0.8129209038605509,0.8129209038605509,underutilised,highest net AEP within acceptable wake-loss band,False
