turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T11,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,11.243251121775465,0.334497625970144,2.8891422094064403,0.3055895608223381
T10,447112,5935079,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,11.155388488219046,0.4223602595265632,3.648034421275588,0.30320147010814974
T03,448112,5936804,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,11.035314197280687,0.5424345504649217,4.685147020231747,0.29993787228964686
T06,447614,5936185,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,11.011503298559317,0.566245449186292,4.890807889543725,0.29929069630787447
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,10.898994174224036,0.678754573521573,5.8625781946921105,0.2962327183687768
T05,449104,5935241,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,10.840536941996133,0.7372118057494763,6.367488376296163,0.2946438612197253
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,10.78780793258806,0.78994081515755,6.822922421004907,0.2932106961455767
T09,447825,5935427,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,10.760992703778724,0.8167560439668851,7.054532463627022,0.29248186300768436
T02,449226,5935776,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,10.537638081715057,1.040110666030552,8.983703902134511,0.28641112420404047
T08,447999,5935873,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,10.405546141440134,1.1722026063054756,10.124616035856919,0.28282088881931217
T04,448712,5935877,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_94,layout_fid7_11t_candidate,11.57774874774561,10.327679630614568,1.2500691171310407,10.797169159284538,0.2807044909386434
