wd_deg,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct
0.0,6.346736332150749,6.098681203171076,0.2480551289796722,3.9083887528633565
22.5,5.150714103418484,4.797644533595851,0.35306956982263316,6.854769314187016
45.0,4.140645860778882,3.980814180589488,0.1598316801893942,3.8600664138741108
67.5,4.4206333966570215,4.055239252266994,0.36539414439002726,8.265651358159358
90.0,5.113734617547788,4.866839038688171,0.24689557885961744,4.828087441463913
112.5,5.799439941264432,5.455909535344053,0.3435304059203794,5.923510018201528
135.0,6.9531999004301825,6.694734193917517,0.2584657065126654,3.7172195566630353
157.5,7.891422284806706,7.233808783113334,0.6576135016933717,8.33326969410153
180.0,9.166686268976168,8.764486588992526,0.40219967998364226,4.387623489906611
202.5,12.457860511468203,11.591840245928106,0.8660202655400973,6.951597063900932
225.0,14.931259837848232,14.372967906866418,0.5582919309818148,3.7390812097894024
247.5,14.705156695667414,13.41400299714968,1.2911536985177339,8.780278410077377
270.0,13.482720548456077,12.833453079484858,0.6492674689712192,4.815552370441791
292.5,11.457301279481053,10.756838765442232,0.7004625140388203,6.11367805517415
315.0,9.368488606156264,9.023015490691094,0.34547311546517,3.6876077880710785
337.5,7.5469847878396505,6.906798727882941,0.6401860599567097,8.482673252346189
