turbine_id,nearest_neighbour,nearest_spacing_m
T01,T02,680.2367235014588
T02,T01,680.2367235014588
T03,T02,680.2367235014588
T04,T05,680.2367235014588
T05,T04,680.2367235014588
T06,T05,680.2367235014588
T07,T08,680.2367235014588
T08,T07,680.2367235014588
T09,T08,680.2367235014588
T10,T11,680.2367235014588
T11,T10,680.2367235014588
T12,T11,680.2367235014588
